Geo_FIPS,city,fipsstatecode,cbsa10,cbsaname10,year,overall_score,hc_score,dl_score,lag_overall,lag_hc,lag_dl,pntv_blk,pfb_blk_percent,pfb_nonblk,pntv_nwnb,ntv_blk,fb_blk,fb_nonblk,pop,nhwht,nhblk,hisp,asian,ppov,hinc,pnhwht,land_area_sqmiles,pop_density,cbsa_pntv_blk,bw_isolation,fbw_isolation,nbbw_isolation,fbbw_isolation,nbfbw_isolation
06037139504,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,-0.2912060006768207,-0.1214976020700849,-0.4609143992835563,0.0145967722021677,-0.2260192906589194,0.255212835063255,0.0404510909536651,0.0,0.5292963961755333,0.1135082127972542,165,0,555,4079,2971,148,421,194,19.9558715371415,47600.0,0.7283647952929639,0.1116094,31144.331,0.0815858234969597,-0.290967508679642,-0.85535436526769,-0.290698454028314,-0.0168814795848848,-0.852853900684413
06037139503,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,-0.2200091443747837,-0.0988776547543676,-0.3411406339951997,-0.1151104624757663,-0.2261291441698362,-0.0040917807816963,0.0520483546004029,0.0162860980523841,0.4958025520483546,0.147750167897918,310,97,501,5956,4258,407,820,271,19.6776359973136,53429.0,0.7149093351242445,0.13580256,34292.432,0.0815858234969597,-0.246090908983031,-0.687916908703992,-0.259902155068388,-0.003060818854909,-0.700601818535297
06037139401,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,0.738479716076959,-0.2025116758984987,1.6794711080524165,-0.1290992949132938,-0.252548080379202,-0.0056505094473856,0.0090560780215952,0.0174155346569139,0.4381748519679554,0.1532567049808429,26,50,455,2871,2081,76,495,150,9.99651689306862,61959.0,0.7248345524207593,0.35029467,7550.7857,0.0815858234969597,-0.21480301530206,-0.659328040026302,-0.218377010934194,-0.0100081985482283,-0.662884406271057
06037137103,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,0.376512157331992,0.2769523461149236,0.4760719685490605,0.0663724418798123,-0.3731332207539072,0.5058781045135319,0.0396627706457175,0.0013412531136232,0.3194098486300057,0.2511975474228779,207,7,1114,5219,3054,214,1075,824,5.72906687104809,73355.0,0.5851695727150795,0.29337858,14312.565,0.0815858234969597,-0.224471057608083,-0.778847511733957,-0.212485976874054,-0.0263633068777378,-0.7631328257972
06037134905,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,0.1485069005539925,-0.1603387452486047,0.4573525463565898,0.0005319672026130994,-0.1217966593718909,0.1228605937771171,0.0690269994905756,0.0081507896077432,0.3604177279673968,0.2137035150280183,271,32,633,3926,2325,303,503,547,10.443199184921,76906.0,0.5922058074375955,0.99874131,2822.5527,0.0815858234969597,-0.20695042881433,-0.424969874035686,-0.192761257830716,-0.0295120883586191,-0.408358729690365
06037134522,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,0.0573809325379239,0.1444554503187296,-0.0296935852428817,0.0351387881483251,0.0716966019686977,-0.0014190256720474,0.0233799237611181,0.0,0.4498094027954257,0.570266836086404,92,0,2828,3935,442,83,3126,129,29.0724269377382,34976.0,0.1123252858958068,0.23757098,16643.447,0.0815858234969597,-0.1809966077675,0.226912377791684,-0.185709095128715,-0.0047033245645922,0.23058728438509
06037135114,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,0.30161405884178,-0.1113866403656522,0.7146147580492124,-0.0457427105118131,-0.1608779360497574,0.069392515026131,0.0369983277591973,0.0,0.4602842809364548,0.181438127090301,177,0,1302,4784,2629,163,442,1401,24.3533123028391,53348.0,0.5495401337792643,0.48834126,9102.2414,0.0815858234969597,-0.160594444229287,-0.156491834093857,-0.15620507225831,-0.0192307400988563,-0.148116172528595
06037135113,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,-0.0326396466739166,-0.2336421987722969,0.1683629054244635,0.1827736699761391,-0.1156773786754136,0.4812247186276919,0.0712435233160621,0.0025906735751295,0.3795336787564767,0.1680699481865284,220,8,934,3088,1599,228,449,491,5.76424870466321,72114.0,0.5178108808290155,0.24849883,11247.538,0.0815858234969597,-0.240977494546309,-0.601719889289391,-0.228366656547158,-0.0277719464702808,-0.585294332693672
06037134903,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,-0.1896097872980037,-0.0641784440737433,-0.315041130522264,0.091742054540915,0.0108287355302842,0.1726553735515458,0.0783277270543008,0.0,0.4725292327406695,0.4368092263334935,489,0,2611,6243,1548,489,2745,1233,18.8851513695339,54341.0,0.2479577126381547,0.2179485,19344.019,0.0815858234969597,-0.123286550822544,0.18464300664827,-0.120692030310766,-0.0163274998982768,0.191361403197131
06037134521,Los Angeles,06,31100,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",2015,-0.0458664462452724,0.1160746467166776,-0.2078075392072224,0.0362117956306414,0.0947357644760245,-0.0223121732147417,0.0239774330042313,0.0,0.5433004231311707,0.5664315937940761,85,0,2653,3545,91,80,3094,260,33.2297259112744,49327.0,0.0256699576868829,0.13582843,23014.328,0.0815858234969597,-0.145100329769229,0.47481081452747,-0.150798767955712,0.00029861203392,0.478268937611531
