tract_fips10,stores,restaurants,bank_count,civsoc_orgs,religious_orgs,doctors,grocery_stores,libraries,he_green,he_walk,stops_per_capita,ed_prxhqece,ed_teachxp,job_density_2013,se_jobprox,high_skill_jobs,jobs_highpay_5mi_2015
06037101110,12,2,0,2,3,6,1,1,42,13.74028,0.39912193,-0.88561672,8.9356079,761.90472,20,452,18727
06037101122,3,2,0,2,0,2,1,0,19.200001,5.563468,0,-13.815511,8.3287821,116.5524,18.651686,70,4270
06037101210,5,9,0,3,10,0,3,1,57.299999,13.588322,0.76923077,0.7438044,8.1896105,2247.012,11.733428,671,35478
06037101220,1,3,0,3,2,1,2,0,41.700001,14.466384,1.3157895,0.63388568,5.9377584,1003.7037,6.6052227,338,18813
06037101300,8,8,2,4,10,9,3,0,26.200001,14.349596,1.7279684,0.48725453,5.6125221,754.01605,15.541797,382,18863
06037101400,10,10,0,5,4,8,6,0,10.1,12.415871,2.269289,1.0070585,7.8175631,284.07224,11.218679,661,52936
06037102103,6,1,0,0,0,3,2,0,25.9,11,2.3391813,1.6559242,4.6489768,131.00436,8.7456846,87,85491
06037102104,11,4,1,0,1,3,1,0,32.5,14.442209,2.7132951,1.9039313,5.3901935,1489.8596,13.086583,1114,102747
06037102105,0,1,0,1,0,1,0,0,55.599998,12.174549,0,1.9459101,5.144557,700,3.5852711,64,107062
06037102107,9,6,2,4,11,3,4,0,7.1999998,12.322667,4.069452,1.1531217,3.5945585,164.32584,21.055754,906,66085
06037103101,2,1,0,0,3,0,0,0,20.299999,9.084425,0,-13.815511,8.287199,127.55103,9.4719191,145,7411
06037103102,17,7,1,1,7,4,6,0,46.900002,14.115256,1.2057878,-2.3069234,8.4033613,1513.5699,22.756826,508,21793
06037103200,10,4,0,7,11,2,4,0,18.5,15.133172,3.3500838,-0.85046107,6.4142566,265.01395,11.544401,328,26486
06037103300,15,1,0,2,1,2,2,0,14.8,6.5248499,3.0020013,0.076486118,2.9777825,254.32306,9.6571026,524,54317
06037103400,17,13,2,1,5,11,8,0,31.799999,14.345048,1.3919822,0.94766718,8.331109,515.52795,6.7913384,428,42475
06037104103,0,2,0,0,0,0,0,0,42.299999,13.579126,0.57421763,0,8.3972063,838.79785,10.503946,451,29850
06037104105,9,3,1,2,2,4,1,0,54.799999,14.126582,1.117943,0,7.455647,3707.9646,21.151009,407,34325
06037104108,3,5,0,2,5,3,7,0,43,13.64531,1.8168605,0,8.1678209,803.78247,13.401622,308,35694
06037104124,7,0,0,2,5,1,3,0,13.5,12.049105,1.9115238,-0.23529437,7.2671962,155.49133,22.602356,255,18647
06037104201,2,1,1,1,3,0,3,0,59,12.546627,0.91053949,0,7.3881178,539.19238,13.587236,92,32154
06037104203,7,1,0,0,1,2,4,0,55.099998,14.836983,1.16198,0,7.9709234,919.41394,16.50403,235,33870
06037104204,10,1,0,0,0,1,1,0,17.5,12.311426,1.4326648,0,8.3051901,867.70428,15.672784,745,25653
06037104310,5,1,0,2,4,0,3,0,59.299999,13.037342,1.0943314,0.92780912,4.6316595,3611.6838,9.4679508,690,39407
06037104320,9,5,0,1,8,2,1,0,59.900002,14.579792,1.9607843,0.51521277,6.099731,1585.4701,8.292079,233,35655
06037104401,2,5,0,0,0,1,2,0,53.099998,13.092237,1.0319917,1.2009562,2.7063355,596.95813,9.1397848,151,48546
06037104403,5,4,0,0,1,4,5,0,54.900002,14.110974,1.9430052,1.2556012,4.0073919,873.60596,8.0459776,64,54641
06037104404,2,1,0,0,2,0,5,0,57.5,17.260511,2.9476787,1.0986123,2.8095016,1038.4615,7.0674248,177,49468
06037104500,3,5,1,0,0,7,4,2,57.599998,15.216702,1.2730745,0.99770927,3.5394058,1048.7805,8.0144405,171,56007
06037104610,6,9,0,0,1,3,7,0,58.099998,12.903418,1.5078408,1.0681114,3.1620605,1096.0698,12.991339,90,51294
06037104620,0,0,0,0,2,4,0,0,56.099998,12.739311,0.59916117,0.99609673,2.7353017,853.65857,8.0787506,162,52541
06037104701,5,8,0,0,6,6,2,0,55.700001,11.35056,1.26968,0.39948064,5.1738849,2328.6384,12.905605,260,40540
06037104703,6,3,0,0,0,0,4,0,67.099998,12.744506,2.5329281,-13.815511,5.4263835,5712.3896,9.743041,285,41738
06037104704,10,5,0,0,0,1,3,0,48.599998,12.167,1.8582426,-0.54325294,7.533771,1352.0249,23.448277,76,43040
06037104810,4,2,0,1,2,0,4,0,53.299999,13.311502,2.30459,0.045544066,3.4948702,1403.2258,10.335519,87,52297
06037104821,0,2,0,0,1,2,1,0,54.700001,15.219237,1.4513788,0.50160897,3.3359101,1726.8292,7.0917368,293,57325
06037104822,6,5,0,1,3,2,2,0,59.700001,14.167,3.2310178,0.69314718,3.5185153,3182.9788,14.597901,249,60268
06037106010,0,0,2,1,3,14,0,1,26.200001,11.833,3.3444816,0,6.1342402,206.57759,14.285715,110,18224
06037106020,10,0,1,0,2,1,2,0,36.5,11.28775,0.94268477,0,4.5534563,176.54639,15.05111,44,19110
06037106111,13,2,0,4,2,2,1,0,21,11.293371,0.68697046,0,3.6676009,333.33331,15.994165,640,18112
06037106112,14,7,0,1,4,4,6,0,35.299999,12.433972,1.7655367,0,3.7383974,2798.5552,11.808553,337,24870
06037106113,7,8,0,2,2,3,4,0,39,15.513309,2.0426029,0,3.6600835,981.98199,13.376623,278,24908
06037106114,13,7,1,1,2,1,5,0,52.099998,15.607611,1.6,0,3.9469244,1543.5898,14.379622,203,25338
06037106403,2,3,1,0,3,6,3,0,43,14.036848,4.2656917,0.66495109,6.5369892,583.13818,7.7509532,256,21637
06037106405,6,5,0,1,1,11,2,0,35.400002,11.534878,2.739726,0.42664593,6.7138915,710.177,5.2798982,291,20763
06037106406,2,4,0,2,3,1,2,0,36.799999,13.152794,2.28471,0.67659301,6.1739092,313.04349,14.533281,47,19571
06037106407,2,4,2,0,1,7,3,0,61.900002,13.281623,1.1355034,0,4.4198895,5344.4443,16.569201,366,20638
06037106408,0,0,0,1,1,1,1,0,56.700001,9.4841766,0.51599587,0,6.107718,761.36365,10.639778,55,20666
06037106510,9,4,1,5,3,2,2,0,24.6,12.052919,2.722676,1.1673951,8.781168,1158.8235,13.84487,292,19430
06037106520,13,0,1,3,6,0,5,0,48.299999,12.733619,0.92798812,1.2326777,9.7502813,4550.4697,12.838682,495,21538
06037106603,6,6,0,0,3,2,1,0,5.5999999,7.9890318,0.61068702,1.9716861,5.2419915,31.668077,22.775053,137,14877
06037106604,9,5,0,0,2,1,2,0,39.400002,12.92582,2.3975066,1.3947467,11.71253,3754.2288,12.01232,449,24728
06037106641,6,3,0,1,3,1,0,0,41.400002,13.667,0.90702948,2.1507165,4.6819472,383.56165,22.702105,182,29566
06037106642,4,1,0,0,4,4,1,0,39.400002,12.935966,2.8098658,2.2679563,4.5309424,264.3678,14.512922,157,32032
06037106643,8,3,0,3,3,17,1,1,24.299999,8.2485752,0.22451729,2.1984022,7.5057583,235.50508,16.371077,351,36844
06037106645,11,2,0,4,2,4,0,0,30.9,12.405096,1.7281106,2.1189294,6.703691,144.46721,21.716803,140,33006
06037106646,10,3,0,5,5,5,4,0,45.099998,14.131371,2.5773196,2.2805145,5.804451,1091.228,11.668839,577,43775
06037106648,6,6,0,2,0,1,5,0,49.299999,12.777667,1.4612762,1.5385859,11.346861,477.12421,10.667367,89,28670
06037106649,3,1,0,0,2,1,0,0,40.799999,14.604995,0.36049027,1.6094379,10.724413,436.91589,18.132854,99,34442
06037107010,3,5,0,0,2,8,1,1,49.099998,16.333,1.2345679,1.0986123,8.7401676,1045.4546,14.908257,187,24016
06037107020,1,1,0,0,1,1,0,0,46.700001,13.243931,0.74074074,1.3126013,11.380738,429.6875,20.313725,109,26364
06037108101,3,1,0,1,0,10,0,0,36.5,7.3330002,0,2.1972246,18.917713,481.6514,16.827345,160,42713
06037108102,10,3,2,3,4,19,8,2,26,9.6669998,0.2596054,2.1491749,18.096369,801.89801,18.019802,440,38678
06037108103,6,0,0,1,3,8,2,0,25.700001,7.987752,0,2.1697135,18.12125,201.0101,18.267929,91,38766
06037108104,3,1,0,1,0,3,1,0,39.200001,9.1669998,0,1.9566689,16.561121,316.61441,26.966291,91,35995
06037108201,26,15,6,3,6,26,4,0,36.299999,8.9203568,0.54446461,2.0047891,17.531851,1499.5385,23.762766,348,30863
06037108202,12,5,0,0,2,20,0,1,17.5,10.667,0.58320373,1.9211925,17.107857,107.55939,24.563173,127,30004
06037109100,7,8,1,1,5,85,0,0,34.5,14.04234,7.0103093,2.0083556,10.363036,4461.2441,10.657785,4259,46314
06037109200,6,5,1,1,1,1,0,0,41.700001,12.352833,1.8368846,2.0916584,17.040287,414.31671,29.373789,111,47697
06037109300,2,3,0,0,6,4,2,0,50.599998,14.469594,3.4623859,2.1878953,15.376907,617.64703,14.173229,160,53592
06037109400,6,0,0,0,6,1,0,0,47.099998,11.023415,1.0660981,1.9530833,8.5650921,132.26453,18.947369,60,57320
06037109500,9,5,0,1,3,8,6,0,53.200001,15.439222,2.5429116,1.5838273,4.8199706,1088.9371,5.7926831,289,45726
06037109601,2,2,0,0,2,1,2,0,39.099998,11.394782,1.1709602,1.9639807,7.3646512,155.55556,18.17424,144,61485
06037109603,16,7,0,1,2,16,2,0,51.200001,15.304203,1.4137606,2.1253324,8.6422033,1095.8549,11.979435,359,66173
06037109604,10,5,3,4,4,10,5,0,52.700001,15.427875,2.5731747,2.1309435,11.820299,1986.7842,10.601915,604,61528
06037109700,4,1,0,2,6,4,1,0,49.400002,13.175175,2.3266636,2.2066827,11.301491,610.1142,7.2976561,315,59836
06037109800,7,3,0,3,2,1,3,0,51.400002,13.631217,1.4207909,2.1770461,11.99064,542.59259,15.866618,311,62525
06037111100,11,6,3,0,3,8,7,0,50.400002,13.561935,0.95510984,2.2917726,8.3879347,1391.198,15.345454,223,50966
06037111201,11,3,1,2,6,1,7,0,41.799999,13.025643,1.5174507,2.2642395,5.7713695,612.99054,18.786314,125,49295
06037111202,17,17,2,4,2,18,6,0,45.299999,15.652179,1.6068559,2.2014413,9.7746353,1812.76,14.859054,838,54797
06037111204,9,4,0,6,6,18,4,0,43.400002,13.921834,2.7989426,2.2078836,18.725557,435.53461,18.209877,340,44371
06037111205,8,9,3,0,2,2,7,0,46.900002,12.903805,1.6397923,2.3357205,17.285706,1265.306,18.118059,192,57696
06037111206,23,13,2,4,6,9,3,0,41.799999,10.368685,0.4515692,2.1972246,19.447634,865.07935,22.419586,274,50479
06037111301,32,20,5,5,14,28,7,0,52.299999,13.646308,2.0395156,2.2142465,12.58182,2913.3247,13.366994,1488,57758
06037111302,9,9,0,5,10,27,2,0,47.599998,13.472589,1.7395086,2.3025851,9.4294214,1375,24.232365,643,59722
06037111400,18,14,4,2,4,34,6,0,53.599998,13.774071,1.1926849,2.2341335,5.8745351,1750,13.8153,734,63369
06037113101,8,1,0,2,3,1,1,0,37.299999,14.683757,2.0115665,2.0578077,12.287949,909.50745,14.503352,640,39041
06037113102,6,4,2,1,6,12,2,0,25.6,12.481334,2.7164686,2.1564882,12.953389,208.2153,15.571957,87,39005
06037113211,9,0,0,7,4,4,4,0,13.5,6.3890648,0,1.7798024,14.925588,188.18925,10.414201,288,29457
06037113212,8,2,0,0,2,3,3,0,46.400002,16.189886,0.60078102,2.1217029,13.425331,2621.7617,16.930573,1005,37624
06037113213,24,11,1,0,2,13,8,0,47.599998,15.087112,2.4685817,2.0894537,13.642518,1643.4264,19.009262,380,41426
06037113231,7,5,1,2,3,8,2,0,13.7,8.9074678,0,1.0907803,3.3181036,1978.015,16.666668,2456,45012
06037113232,12,4,1,1,2,4,1,1,39.200001,13.399636,1.9970045,1.7713996,2.4578531,829.57397,13.141026,461,64576
06037113233,11,14,0,0,2,4,5,0,63,14.964577,1.4386189,1.9292892,3.8065703,3990.9502,8.9436617,600,72054
06037113234,19,3,0,2,4,2,0,0,54.099998,14.036877,1.5854142,1.9472177,6.6644711,1322.2506,16.200579,271,72602
06037113235,5,2,0,1,1,1,0,0,14.3,7.8330002,0,1.1891372,3.469224,111.91335,19.951633,23,36221
06037113237,50,10,1,4,3,10,2,1,37.400002,12.234647,4.6170559,1.9340605,9.6444435,5096.2275,24.040068,1666,54175
06037113301,99,39,6,3,3,14,14,0,53.599998,14.138801,9.3875726,2.3446965,11.657332,6760.2739,19.38883,2352,57701
06037113303,57,15,4,3,9,9,7,0,63.400002,14.579244,5.953744,2.2661774,9.9785318,8616.6563,16.27066,3396,69781
06037113321,15,17,1,7,11,13,7,0,59.900002,13.636089,1.699813,2.025811,12.287223,3207.4075,9.8466253,415,50364
06037113322,13,12,6,3,7,9,9,1,49.900002,15.912857,2.4740228,2.1732776,10.513539,766.66669,17.701712,368,53306
